Sentence,Label
It took 12 stitches to close the boy's wound in Bi-County Hospital.,1
"   ""It didn't really dawn on me that there might be a problem,"" said his father, Gary Harbert, who was taking his son to breakfast and stopped briefly at the neighbor's house.",1
"   ""I saw my son go to pet the dog and the dog jumped across the table and went for his throat.""",1
   ,1
The Journal of the American Medical Association estimates that nearly half of all children will be bitten by age 12.,1
"   Gary Mitchell, a spokesman for the Michigan Association of Insurance, said the larger dogs that people are buying now to protect their homes are a particular concern.",1
"Too often, the dogs are bred to be vicious at puppy mills, he said.",1
"   ""More people will be bitten by poodles and cocker spaniels than pit bulls this year simply because there are so many more of them,"" he said.",1
"   ""But the serious injuries are caused by dogs like the pit bull.",1
"The increase in lawsuits is the result of the attacks by these large, aggressive animals.",1
"   ""People want them for protection, but the problem is these dogs often don't know the difference between a burglar and the kid next door or the mailman.",1
"Those are the people who are being bit and those are the people that are suing.""",1
"   Last year, 2,795 postal carriers were bitten and the U.S. Postal Service now is routinely suing dog owners.",1
"    Farmington Hills attorney Sam Bernstein said his office handles ""quite a few"" dog bite claims and he has seen ""a lot of gruesome attacks, particularly by dogs whose owners allow them to roam the neighborhood.""    ",1
"He said Michigan is like 30 other states with strict liability laws that say if your dogs bites someone, you're responsible.",1
"   ""There seems to be much more serious injuries today among people who are bitten by dogs,"" Bernstein said.",1
"   State Farm Insurance, Michigan's largest provider of homeowner insurance, said it had 441 dog bites claims last year, up nearly 41 percent from 1996.",1
"   ""For the last two years, Michigan has been the fifth-highest state in the amount paid out in dog claims by State Farm,"" said John Carroll, a company spokesman.",1
"   The insurer's Michigan costs last year were $81,367 in medical claims and another $3.27 million to settle liability claims.",1
"   ""We don't deny coverage based on breed since any breed can be trained to bite,"" Carroll said.",1
"""But after one bite, we insist the homeowner resolve the situation.",1
"   ""The policy will be discontinued if they continue to keep the dog on premises.""    ",1
"Dan Hattaway, a dog bite expert at State Farm's national headquarters in Bloomington, Ill., said the company had 14,000 dog bite claims last year -- up 27 percent from 1996.watch it jeff!",1
>,0
>,0
Dan..you got that one..,1
Either way someone is going to lose a mobile home!,1
"> Either you have done a lot of Ky searches, or Virginia used to be part of Ky> but formed it's own state because everyone ran out of relatives to marry!",1
>,0
> :),0
" Jeff>-- Leonard Lauria           Greater Kentucky Search Dogs, President/K9 Handler leonard@uky.edu          http://speedy.cc.uky.edu/GKSD Sr. Systems Programmer UK Computing Center      Madison Co. Rescue Squad, SAR Team Leader 128 McVey Hall           http://speedy.cc.uky.edu/Rescue Lexington, Ky. 40508 FAX: (859) 323-1978      ",0
Madison County SAR Coordinator,0
   ,1
"""Life is what happens while you're making other plans."" -Raymond CarverI",1
love it - sounds right to me !,0
!,0
!,0
"SandeLynne Engelbert wrote:>> How about ""they both take everything you've got""?",1
>,0
>,0
Lynne,1
">> At 9:05 PM -0400 9/10/00, SARK9TRNR@aol.com wrote:of>",0
>,0
Post message: caninesolutions@egroups.com,0
>>,0
Subscribe: caninesolutions-subscribe@egroups.com>>,0
Unsubscribe: caninesolutions-unsubscribe@egroups.com,0
>> List owner:  caninesolutions-owner@egroups.com>,0
>,0
URL to this page: http://www.egroups.com/group/caninesolutions,0
> - mayberry_1.jpg,0
"BUSINESS HIGHLIGHTSWeather GroupLet=01,s give a big round of applause to the Weather Team!",1
 Environmental==20Finance Magazine ranked the weather group #1 in Online Services and #1 Deal=er=20in the United States and Europe.,1
" Gary Taylor, manager in weather trading,==20comments, ""The ""Best Dealer"" award reflects our counterparties' appreciatio=n=20for the significant effort we have made to drive the growth of our market b=y=20making two-sided markets where other companies are only willing to quote=20either a bid or an offer.",1
" This award also reflects the innovative nature o=f=20everyone on our desk, and their ability to price non-standard structures fo=r=20our customers.",1
 It is truly a team award.,1
" The ""Best Online Dealer"" award i=s=20simply another testament to the unparalleled success of EnronOnline.",1
" By=20providing tight, two-way markets online, we have provided two critical=20elements to generate growth in our market: 1) an element of price discovery=,=20and 2) a quick and easy way to transact.",1
"""The Weather Risk Management group launched a new product this week:  Power==20Demand swaps.",1
 ,1
"These contracts use power demand as an index and allow power==20market participants (generators, btu distributors, marketers, etc...) to=20mitigate volumetric exposures.  The first contract the desk offered is for==20the PJM power pool.  ",1
"On EnronOnline, weekly swaps are available and the des=k=20has placed option contracts on this index in the broker market.",1
" Inquiries==20regarding this product should be directed to Claudio Ribeiro (product=20manager) x37313, Gary Taylor x31511, or Valter Stoiani x36906.Competitive Analysis and Business ControlseSource, Enron's premier corporate-wide research group, launched their new==20intranet product, eSearch, on December 1, 2000.",1
 eSource's team of=20specialized researchers have created a web site to bring information and=20research to every employee's desktop.,1
" The eSearch web site offers many lin=ks=20to information resources, access to research databases, specialized searche=s,=20sites to purchase books, articles, and reports, and training.",1
 Employees ca=n=20use the web site to conduct their own research or as a vehicle to submit=20research requests.,1
" eSource's researchers and industry specialists are=20available to all Enron business units to provide timely and cost efficient==20research, to work with individuals or groups to fulfill one time research==20requests, or to design ongoing, customized monitoring projects or news=20updates.",1
Enron Global Markets FundamentalsEGM Fundamentals is quickly building a team of expert analysts and associat=es=20to work directly with traders and marketers.,1
 The team is already busy=20analyzing various commodities and market situations.  ,1
"For example, an=20initiative is underway to analyze current negative fractionation spreads in==20the market resulting from rising natural gas prices.",1
 ,1
Web sites to host thi=s=20analytical information are currently in development for all EGM commodities=.,1
"=20These sites will provide research and analysis, weather, publications, and==20any other information that will assist in decision-making or identification==20of potential commercial opportunities.",1
" For questions or requests regarding==20fundamental research, contact Jennifer Fraser at x34759.  For questions or==20suggestions regarding the web sites",1
", contact Heather Purcell at x54057.Austin",1
EnergyAustin,1
"Energy and Enron Sandhill, L.L.C, a subsidiary of Enron North Americ=a=20broke ground November 29, 2000 for the construction of the Sand Hill Energy==20Center, a 180-megawatt peaking electrical generation facility.",1
" Located in==20eastern Travis County, the Sand Hill Energy Center will be a natural gas=20fired facility that will operate primarily during peak demand periods.",1
" The==20$93.7 million project will feature four 45-megawatt General Electric gas=20turbines and will be operational May 1, 2001.NEWS FROM THE GLOBALFLASHCoalThe London dry cargo seafreight team traded 1 million metric tonne of=20Capesize vessel swaps via EOL in one day, (Wednesday 28th November).",1
The de=al=20was created by combining OTC options and a physically related cash market==20deal.,1
 This helps to bring our YTD EOL to just under 2.5 mln tonne.,1
Off-shore wind energy dealEnron Wind has signed a power purchase agreement with Swedish energy compan=y=20Graninge.,1
" According to the agreement, Graninge will deliver electricity to==20consumers using Enron's wind power plants in southern Sweden.",1
" Enron Wind's==20Utgrunden off-shore wind park, completed this year, will generate in the=20region of 38,000 megawatt hours of electricity, or enough for around 6,000==20average homes between the mainland and the island of Oland on the southeast==20tip of Sweden.",1
 ,1
"In an announcement this week, Graninge stated that it plans==20to market the power to consumers as 'green' energy.",1
Happy 1st Birthday EnronOnline!This week saw EnronOnline celebrate its first birthday.,1
 ,1
"During the course =of=20its first year, EnronOnline has passed a number of milestones including the==20addition of a range of new functionalities for customers on the site.",1
"=20EnronOnline has now come of age, having surpassed the $274 billion mark in==20notional value in November.",1
" This represents a total of 478,695 transaction=s=20since the site was launched on 29 November 1999.The first anniversary was marked by giving the media guest access to=20EnronOnline in Europe.",1
 A team from Reuters was invited into Enron House to==20receive a full demonstration of EnronOnline and as of today will be able to==20quote in reports live prices from EnronOnline.,1
 Other media outlets are bei=ng=20invited to obtain guest access during the coming weeks as the word of=20EnronOnline's success continues to spread...,1
AustraliaEnron Australia continues to assist in the region in a supportive role.,1
"=20Elliott Katz worked on the GEM migration in Singapore last week with an IT==20team from London, Oslo and Singapore.",1
" Approximately 40 users, including=20Traders, were migrated to Windows 2000 and the CORP domain.",1
" This is an=20important step for the Asia Pacific region, as it brings the three biggest==20offices (Singapore, Sydney and Tokyo) into line with corporate standards fo=r=20desktop computing.",1
"JapanE-Power, a JV between Enron and Japanese finance company Orix, has announce=d=20proposals for a 2000MW gas-fired power plant at Mutsu-Ogawara, an industria=l=20area  in northern Japan.",1
  A feasibility study will be undertaken to define==20how the project will go forward and this may include the development of an==20LNG terminal in the vicinity.,1
 The nature of the permitting process is such==20that the plant would not begin operations for six to seven years.,1
" This=20project is just one of several options that E-Power are working on in Japan=.NUGGETS & NOTES=01&Go Big or Go Home=018 =01) Mike McConnell/President & CEO-EGM""Call Back"" - Don Schroeder, VP/Crude Trading-EGMREMINDERHoliday PartyEnron North America, Global Markets and Industrial MarketsEnron FieldSaturday, December 97:00 - MidnightWELCOMENew Hires ENA/EIM/EGMENA =01) Joseph Taylor, Jennifer Rosado, Rabi De, Louis Dicarlo, Scott Chur=bock,=20Kenneth Parkhill, Nicholas Ernst, Dirk Dimitry, Stephanie Taylor, Dimitri==20Tagaropulos, Georgia Blanchard, Jona Kimbrough, Jeffrey Baldwin, Patricia==20English, Jaesoo Lew, Cheryl Nelson, Gina Abbott, Ryan Keith, Brian DawsonEGM =01)Ellen Alexander, Mike PerunTransfers to ENA/EIM/EGMENA =01) Gregory GoldenEGM =01) Keynan DuttonFROM THE EDITORSThank you to all the contributors to this week's EnTouch.",1
" We want to hear==20from the various departments within Enron Americas, Global Markets and=20Industrial Markets!  ",1
"Please continue to send your business highlights,=20nuggets & notes or suggestions to Michelle Vitrella or Kathie Grabstald.",0
LEGAL STUFFThe information contained in this newsletter is confidential and proprietar=y=20to Enron Corp. and its subsidiaries.,0
 ,1
It is intended for internal use only==20and should not be disclosed.,0
"Texas Survivor Network Television is developing a ""Texas Version"" of ""Survivor,"" the popular TV show.",1
" Contestants must travel from Amarillo through Fort Worth, Dallas, Houston, College Station, San Antonio, through San Marcos and Lubbock, and back to Amarillo driving a Volvo with a bumper sticker that reads: ""I'm for Gore, I'm Gay, and I'm Here to Take Your Guns.""  The first to complete the round trip is the winner.",1
"This email was cleaned by emailStripper, available for free from http://www.printcharger.com/emailStripper.htm",0
  [IMAGE]  ,0
"=09  [IMAGE] =20=09=09=09[IMAGE]=09=09Brown vs. Bellotti in San Diego  Dec. 7, 2000 =20=09=09[IMAGE]Chip Brown, who covers Texas football for The Dallas Morning News=,=20answers your questions about the Holiday Bowl, UT's quarterback situation, ==20probable NFL draft picks, Mack Brown and more.",0
Inside UT Football appears o=n=20Thursdays.=20=09=09,0
E-,0
mail questions to Chip: chipbrown@dallasnews.com=20=09=09,0
Listen to Chip Brown talk about the Longhorns on=09DallasNews.com's Colleges site=20=09=09,1
Buy all your UT team gear at our E-Fanshop.com=20=09=09=09Chip Shot=20=09=20=09=09One of the most intriguing matchups to watch in this year's Culligan Hol=iday=20Bowl at San Diego will take place on the sidelines with Texas coach Mack=20Brown going up against Oregon's Mike Bellotti.=20=09=09,1
"You may not know much about Bellotti, but know this about his tenure at==20Oregon - in six years, he has a 48-22 record, and those 48 wins are more th=an=20any other Pac-10 school during that time period.",1
"And over the last four=20seasons, Oregon is 33-13 with four consecutive bowl game appearances.",1
The==20Ducks' two losses this season were by a combined total of 14 points (37-34==20vs. Wisconsin and 23-13 at Oregon State).,1
=20=09=09,1
Brown certainly is impressed by Bellotti's success at Oregon.=20=09=09,1
"""Mike Bellotti is a personal friend,"" Brown said in a news release from= UT's=20sports information office.",1
"""He took over for Rich Brooks at Oregon a number==20of years ago when they were representing the Pac-10 in the Rose Bowl for th=e=20first time in a long time.",1
He has done a great job building on that success==20each of his years as head coach.,1
"It will be fun to be around him and his te=am=20throughout the week.""",1
=20=09=09,1
"Added Holiday Bowl president Jim Philion: ""Coach Bellotti has built the==20Ducks into one of the premiere football programs in the country.",1
"The game==20this Dec. 29 against Texas will increase an already exciting rivalry betwee=n=20the Pac-10 and the Big 12.""",1
=20=09=09 Longhorn fans can purchase tickets to the Culligan Holiday Bowl by=20contacting the UT ticket office (512-471-3333/1-800-982-BEVO) or by logging==20on to the athletics department Web site (www.TexasSports.com).,1
=20=09=09=09=09,1
Longhorn Q & A  ,1
Q:,1
"Longhorn officials will probably not say which bowl =they=20would prefer to play in, but were any of their options less desirable becau=se=20of dates, travel, ticket sales or impressing",1
recruits?=20=09,1
?,1
?,1
Todd Davis=20=09=09,1
BROWN:,1
 The Longhorn team and coaching staff really wanted to go to the==20Holiday Bowl.,1
"I know that sounds like, ""Well, of course, that's what they==20would say.""",1
"But the coaches were trying to motivate the team before the=20Kansas game by saying if UT won out, they would go to the Holiday Bowl, a==20fun, sunny destination against a top 10 team.",1
"Aside from the beach balls an=d=20surfing, the UT players wanted to go to San Diego because they are paid=20mileage by the NCAA from their hometowns to get to the bowl game.",1
For=20instance,1
", Chris Simms was paid $1,500 by the NCAA to get from New Jersey to==20the Cotton Bowl last year.",1
So he'll really clean up this year.,1
Not that he==20needs it.,1
But you get the picture.,1
It's a way for some of the players to ma=ke=20a nice little chunk of change because what many of them will do is take the==20mileage money from the NCAA and then try to buy a cheaper airline ticket an=d=20pocket the rest.,1
The players are responsible for getting to San Diego on=20their own.,1
The team will not charter a flight.,1
(All players have to be=20checked into the team hotel in San Diego by 10 p.m. on Dec. 22).,1
Mack Brown==20wanted to go to the Holiday Bowl from the time it appeared Oklahoma would w=in=20the Big 12 South because he knew it would give Texas a chance to play a top==2010 team.,1
"And he wants his team excited and pumped up to play a surging team=.=20Last year, Texas and its fans couldn't seem to get fired up for an unranked==207-4 Arkansas team in the Cotton Bowl, one year after having played in the==20same game.",1
So believe it when UT says the Holiday Bowl is where it wanted t=o=20be.=20=09?=09=09=09=09=09=09=09[IMAGE] Casey Hampton =20=09=09Q:,1
How high do you think Casey Hampton will go in the NFL draft?,1
 I woul=d=20think he's a cinch first rounder.,1
Could he go in the top five?,1
  ,1
??,1
=,1
20=09=09,1
BROWN:,1
 Hampton could go in the first or second round.,1
The second round==20might be more likely because there are so many highly touted defensive=20linemen coming out this year.,1
But Hampton has been really watching his weig=ht=20and trying to improve his speed.,1
He promised me that scouts at the NFL=20combine will be surprised when=20=09=09they see him work out.,1
Hampton is a great story.,1
The guy just works his =tail=20off and knows that his height (slightly more than 6-1) will probably play==20against him.,1
So he is going to try to blow scouts away in every other area.==20But,1
"as he told me in a story that The Dallas Morning News and DallasNews.co=m=20ran before the Texas A=02?game, ""The film don't lie.",1
"If you can show me whe=re my=20height has hurt me, it's on you.""",1
I would be surprised if Hampton fell to t=he=20third round.=20=09?=09=09=09,1
Q:,1
Let's see now: Rose Bowl ... Cotton Bowl ... Sugar Bowl ... Orange B=owl=20...  Fiesta Bowl ... Galleryfurniture.com Bowl ...  Which one does NOT give==20you cold chills just to think about?,1
=20=09??,1
R.R. =,1
20=09=09,1
BROWN:,1
" At least the galleryfurniture.com Bowl is not called the Poulan==20Weedeater Bowl, a name that still haunts the now-Sanford Independence Bowl,==20where Texas A=02?will meet up with former coach Jackie Sherrill this year.",1
=,1
"We=20have to hope the furniture bowl, which will be played in the Houston=20Astrodome, fairs better than the old Bluebonnet Bowl, which went bankrupt a=nd=20failed to pay Texas and Pittsburgh their purses for the 1987 game (won by U=T,=2032-27).",1
That was the last bowl game ever played in Houston.,1
=20=09?=09=09=09,1
Q,1
:,1
Texas' quarterback controversy early this year was an artificial thi=ng =20manufactured by the ill-fated rotation scheme.,1
"Now, however, the  quarterba=ck=20controversy is real.",1
Texas now has two genuine starting  quarterbacks.,1
Chri=s=20Simms is no longer the next boy wonder.,1
He  has arrived.,1
Does ANYONE in the==20nation have a better quarterback  tandem than Texas?,1
How in the world is Ma=ck=20Brown going to deal with this?,1
" If they keep the simplified offensive schem=e=20next year, do you think the  QB rotation could resurface and actually work?= =20=09??",1
"Rowell Rogers, Denton, Texas=20=09=09",1
BROWN:,1
 I said before this season that Mack Brown would earn every penn=y of=20his salary because of the quarterback situation.,1
And he'll earn every penny==20again next year.,1
"Unless unforseen circumstances, such as injuries, dictate==20otherwise, I think it will be difficult for Chris Simms to redshirt next=20year.",1
And I think it will be difficult for the coaches not to start Simms==20next year.,1
"He won the job because of an injury to Major Applewhite, just as==20Major won the job because of an injury to Richard Walton.",1
"If Simms starts t=he=20bowl game, and Texas plays well and wins, Simms will have done nothing to==20lose the job and would probably go into the spring and fall as",1
the starter.==20If,1
Texas flounders under Simms in the bowl game and Applewhite needs to com=e=20in and relieve him,1
", then we are back to square one, with both guys battling==20it out in the spring and fall to see who is the starter.",1
Texas coaches have==20said they were more comfortable with Applewhite coming off the bench this==20season because of his experience.,1
So we'll see if their stance has changed.==20=09?=09=09=09 Q:,1
The 70-yard pump-and-go TD play from Chris Simms  to B.J. Johnson,1
is= both=20a validation of Simms' abilities AND an indictment  of the quarterback=20rotation.,1
Chris Simms made that play happen because he had played  every=20offensive down in the game to that point and knew the tendencies of the=20defensive  player responsible.,1
"To my mind, that is a strong argument agains=t=20any kind of QB rotation  scheme.",1
"But, on the other hand, how can one NOT wa=nt=20to play both of these  immensely talented quarterbacks as much as",1
possible?==20Can we get a rule change to allow  two footballs on the field at once (ha==20ha)?,1
  ,1
?,1
?,1
=,1
20=09=09,1
BROWN:,1
 The only argument I could make in favor of the quarterback rota=tion=20next year is that Simms should have more confidence and thus should flouris=h=20whenever he is on the field.,1
But his comments all season have directly and==20indirectly indicated that he hated the rotation and that his confidence=20didn't come around until he was taking all the snaps.,1
So I don't know if th=e=20coaches are willing to put him through that again and risk losing his=20confidence.=20=09?=09=09=09=09=09=09=09[IMAGE],1
Mack Brown =20=09=09Q: What is your opinion of Mack Brown as a gameday coach?,1
"I noticed earl=ier=20in the season that you picked Texas Tech for the upset over the Longhorns,==20which seemed to be an indictment on Mack Brown's ability to fire up the tea=m,=20assuming that Texas has more talented players.",1
"I think that he has proven==20that he can win big games, but he has also had some surprising slipups.",1
Bro=wn=20is unquestionably a great recruiter,1
",",1
but,1
do you question his leadership=20ability on gameday?,1
=20=09,1
?,1
?,1
Andrew Wootton=20=09=09,1
BROWN:,1
 ,1
"Up until the Texas Tech game, Mack Brown was saying things like= ""We=20could lose any game we play.",1
I just don't know which team is going to show==20up.,1
"We could go 6-5 or 9-2.""",1
Those kinds of=20=09=09comments factored into my thinking when picking Texas Tech to beat the==20Longhorns.,1
Brown is as adept at public relations and communication as any==20coach I've been around.,1
"So when he was saying things like that, it made you==20wonder if this team was ever going to develop an identity.",1
"Clearly, this ye=ar=20was a tough year in terms of leadership on the field on offense",1
.,1
The defens=e=20was fine with Casey Hampton leading the charge.,1
But the offense really=20struggled to find an identity.,1
Part of that was the quarterback rotation.==20Part of it,1
"was having young receivers, and part of it was having a bunch of==20guys with low-key personalities (i.e. Hodges Mitchell, Leonard Davis, Antwa=n=20Kirk-Hughes, Derrick Dockery, Mike Williams etc.).",1
Mack Brown even said it==20was the quietest bunch of offensive players he'd been around.,1
"Once Mack Bro=wn=20and Co. decided to simplify the offense and designate Major Applewhite as t=he=20starter, Brown was making a plea to the offense for leadership as much as==20anything else.=20=09=09I think Mack Brown is a great coach.",1
Let me say that again.,1
He is a grea=t=20coach.,1
I think this year was a test of his finding and developing leadershi=p=20on the field.,1
"The more he rotated the QBs, the less chance the offense had =to=20develop an identity because the young receivers were clearly struggling wit=h=20learning their responsibilities in four-wide as well as trying to adjust to==20having two QBs coming in and out of the huddle.",1
"The offensive linemen, earl=y=20on, also struggled with gap schemes and just hitting the guy in front of hi=m.=20I'm sure the coaches thought the offense would come together more quickly==20than it did.",1
Mack Brown has already gone back and said that he wished he=20played Simms more in the Stanford game - an outing in which Applewhite real=ly=20struggled until the fourth quarter.,1
